Row Labels,Sum of Profit,Sum of Sales
Furniture," $18,451.27 "," $7,41,999.80 "
Bookcases," $-3,472.56 "," $1,14,880.00 "
Chairs," $26,590.17 "," $3,28,449.10 "
Furnishings," $13,059.14 "," $91,705.16 "
Tables," $-17,725.48 "," $2,06,965.53 "
Office Supplies," $1,22,490.80 "," $7,19,047.03 "
Appliances," $18,138.01 "," $1,07,532.16 "
Art," $6,527.79 "," $27,118.79 "
Binders," $30,221.76 "," $2,03,412.73 "
Envelopes," $6,964.18 "," $16,476.40 "
Fasteners, $949.52 ," $3,024.28 "
Labels," $5,546.25 "," $12,486.31 "
Paper," $34,053.57 "," $78,479.21 "
Storage," $21,278.83 "," $2,23,843.61 "
Supplies," $-1,189.10 "," $46,673.54 "
Technology," $1,45,454.95 "," $8,36,154.03 "
Accessories," $41,936.64 "," $1,67,380.32 "
Copiers," $55,617.82 "," $1,49,528.03 "
Machines," $3,384.76 "," $1,89,238.63 "
Phones," $44,515.73 "," $3,30,007.05 "
Grand Total," $2,86,397.02 "," $22,97,200.86 "
